externalProductCode,unitName,quantityInBaseUnit,isBaseUnit,barcodes,barcodeDisplay,sellPriceThb,sourceRow
P-11627,กล่อง,1,true,8851467045002,กล่อง[1] : 8851467045002,50,2
P-415,ขวด,1,true,8856093034109,ขวด[1] : 8856093034109,552,3
P-12234,เส้น,1,true,8853986004249,เส้น[1] : 8853986004249,260,4
P-2,กล่อง,1,true,8858797410012,กล่อง[1] : 8858797410012,60,5
P-2,แพ็ค,10,false,"8858797410029, 18858797410019","แพ็ค[10] : 8858797410029, 18858797410019",578,6
P-3,ขวด,1,true,8856093031030,ขวด[1] : 8856093031030,13,7
P-8676,ก้อน,1,true,2010576150030,ก้อน[1] : 2010576150030,155,8
P-7784,ถุง,1,true,8856093047741,ถุง[1] : 8856093047741,205,9
P-7783,ถุง,1,true,8856093047734,ถุง[1] : 8856093047734,205,10
P-7782,ถุง,1,true,8856093047727,ถุง[1] : 8856093047727,205,11
P-6509,ตลับ,1,true,8857124582446,ตลับ[1] : 8857124582446,146,12
P-6510,ตลับ,1,true,8857124582453,ตลับ[1] : 8857124582453,146,13
P-6511,ตลับ,1,true,8857124582460,ตลับ[1] : 8857124582460,146,14
P-6512,ตลับ,1,true,8857124582507,ตลับ[1] : 8857124582507,146,15
P-6513,ตลับ,1,true,8857124582514,ตลับ[1] : 8857124582514,146,16
P-6514,ตลับ,1,true,8856093044603,ตลับ[1] : 8856093044603,146,17
P-6515,แท่ง,1,true,8856093044610,แท่ง[1] : 8856093044610,104,18
P-6516,แท่ง,1,true,8856093044627,แท่ง[1] : 8856093044627,104,19
P-6517,แท่ง,1,true,8856093044634,แท่ง[1] : 8856093044634,104,20
P-6518,แท่ง,1,true,8857124582330,แท่ง[1] : 8857124582330,104,21
P-6519,แท่ง,1,true,8856093044641,แท่ง[1] : 8856093044641,104,22
P-6520,แท่ง,1,true,8857124582354,แท่ง[1] : 8857124582354,104,23
P-6521,แท่ง,1,true,8856093044658,แท่ง[1] : 8856093044658,104,24
P-6522,แท่ง,1,true,8857124582378,แท่ง[1] : 8857124582378,104,25
P-6523,แท่ง,1,true,8856093044665,แท่ง[1] : 8856093044665,104,26
P-6524,แท่ง,1,true,8857124582392,แท่ง[1] : 8857124582392,104,27
P-6525,แท่ง,1,true,8857124582408,แท่ง[1] : 8857124582408,104,28
P-6526,แท่ง,1,true,8856093044672,แท่ง[1] : 8856093044672,104,29
P-6527,แท่ง,1,true,8856093044689,แท่ง[1] : 8856093044689,104,30
P-6528,แท่ง,1,true,8856093044696,แท่ง[1] : 8856093044696,104,31
P-6589,แท่ง,1,true,8857124582552,แท่ง[1] : 8857124582552,104,32
P-6590,แท่ง,1,true,8857124582569,แท่ง[1] : 8857124582569,104,33
P-6591,แท่ง,1,true,8856093044917,แท่ง[1] : 8856093044917,104,34
P-6592,แท่ง,1,true,8857124582583,แท่ง[1] : 8857124582583,104,35
P-6593,แท่ง,1,true,8856093044924,แท่ง[1] : 8856093044924,104,36
P-6594,แท่ง,1,true,8857124582606,แท่ง[1] : 8857124582606,104,37
P-6700,แท่ง,1,true,8857124582620,แท่ง[1] : 8857124582620,157,38
P-6701,แท่ง,1,true,8857124582637,แท่ง[1] : 8857124582637,157,39
P-6702,แท่ง,1,true,8857124582644,แท่ง[1] : 8857124582644,157,40
P-6703,แท่ง,1,true,8857124582651,แท่ง[1] : 8857124582651,157,41
P-6704,แท่ง,1,true,8857124582668,แท่ง[1] : 8857124582668,157,42
P-6705,แท่ง,1,true,8857124582675,แท่ง[1] : 8857124582675,157,43
P-6706,แท่ง,1,true,8857124582682,แท่ง[1] : 8857124582682,157,44
P-6707,แท่ง,1,true,8857124582699,แท่ง[1] : 8857124582699,157,45
P-6708,แท่ง,1,true,8857124582705,แท่ง[1] : 8857124582705,157,46
P-6709,แท่ง,1,true,8857124582712,แท่ง[1] : 8857124582712,157,47
P-5994,กล่อง,1,true,8856093040889,กล่อง[1] : 8856093040889,620,48
P-9547,ห่อ,1,true,8853984002759,ห่อ[1] : 8853984002759,35,49
P-8922,แพ็ค,1,true,8853984001448,แพ็ค[1] : 8853984001448,45,50
P-9430,ซอง,1,true,4903111962273,ซอง[1] : 4903111962273,149,51
P-7219,ซอง,1,true,8851111643011,ซอง[1] : 8851111643011,105,52
P-7219,แพ็ค,4,false,8851111643028,แพ็ค[4] : 8851111643028,129,53
P-7219,ลัง,24,false,68851111643013,ลัง[24] : 68851111643013,2520,54
P-6349,ซอง,1,true,4903111905676,ซอง[1] : 4903111905676,105,55
P-6349,แพ็ค,4,false,8851111639014,แพ็ค[4] : 8851111639014,420,56
P-6349,ลัง,24,false,68851111639016,ลัง[24] : 68851111639016,2520,57
P-6350,ซอง,1,true,4903111961900,ซอง[1] : 4903111961900,149,58
P-6350,แพ็ค,4,false,8851111641017,แพ็ค[4] : 8851111641017,504,59
P-6350,ลัง,24,false,68851111641019,ลัง[24] : 68851111641019,0,60
P-11460,กระปุก,1,true,8859375700648,กระปุก[1] : 8859375700648,80,61
P-4638,กล่อง,1,true,8856093035496,กล่อง[1] : 8856093035496,116,62
P-10872,แพ็ค,1,true,8992806200420,แพ็ค[1] : 8992806200420,30,63
P-11571,ซอง,1,true,8992806200406,ซอง[1] : 8992806200406,20,64
P-4639,ซอง,1,true,8856093035502,ซอง[1] : 8856093035502,21,65
P-4640,ซอง,1,true,8856093035519,ซอง[1] : 8856093035519,27,66
P-8933,กล่อง,1,true,078371920500,กล่อง[1] : 078371920500,90,67
P-12062,ถุง,1,true,4710367278504,ถุง[1] : 4710367278504,0,68
P-9727,ขวด,1,true,8850304090229,ขวด[1] : 8850304090229,75,69
P-9062,กล่อง,1,true,8850304221579,กล่อง[1] : 8850304221579,45,70
P-9063,กล่อง,1,true,8850304221586,กล่อง[1] : 8850304221586,50,71
P-9065,กล่อง,1,true,8850304221159,กล่อง[1] : 8850304221159,50,72
P-9064,กล่อง,1,true,8850304221135,กล่อง[1] : 8850304221135,45,73
P-4,กล่อง,1,true,8850304017936,กล่อง[1] : 8850304017936,120,74
P-5,กล่อง,1,true,8850304015079,กล่อง[1] : 8850304015079,195,75
P-8936,กล่อง,1,true,8850304018766,กล่อง[1] : 8850304018766,320,76
P-11796,กล่อง,1,true,8711428070255,กล่อง[1] : 8711428070255,190,77
P-4794,กล่อง,1,true,8850304089551,กล่อง[1] : 8850304089551,158,78
P-8,กล่อง,1,true,8850304089568,กล่อง[1] : 8850304089568,137,79
P-8650,กล่อง,1,true,8850304013204,กล่อง[1] : 8850304013204,40,80
P-14,ม้วน,1,true,8850304002635,ม้วน[1] : 8850304002635,35,81
P-14,โหล,12,false,38850304002636,โหล[12] : 38850304002636,378,82
P-9225,ม้วน,1,true,8850304013211,ม้วน[1] : 8850304013211,65,83
P-9225,แพ็คx12,12,false,38850304013212,แพ็คx12[12] : 38850304013212,0,84
P-15,ม้วน,1,true,8850304002642,ม้วน[1] : 8850304002642,60,85
P-15,กล่อง,6,false,38850304002643,กล่อง[6] : 38850304002643,378,86
P-7777,แผ่น,1,true,8853984001677,แผ่น[1] : 8853984001677,10,87
P-7777,กล่อง,20,false,051131000223,กล่อง[20] : 051131000223,200,88
P-17,ชิ้น,1,true,8853986002016,ชิ้น[1] : 8853986002016,12,89
P-17,กล่อง,20,false,051131000230,กล่อง[20] : 051131000230,190,90
P-5661,กล่อง,1,true,8856093039579,กล่อง[1] : 8856093039579,126,91
P-18,ม้วน,1,true,8850304095569,ม้วน[1] : 8850304095569,105,92
P-20,กล่อง,1,true,8850304019619,กล่อง[1] : 8850304019619,63,93
P-21,ซอง,1,true,8856093027743,ซอง[1] : 8856093027743,84,94
P-22,กล่อง,1,true,8850304005865,กล่อง[1] : 8850304005865,84,95
P-23,กล่อง,1,true,8856093028092,กล่อง[1] : 8856093028092,168,96
P-11021,กล่อง,1,true,8850304234173,กล่อง[1] : 8850304234173,40,97
P-8647,กล่อง,1,true,8850304013181,กล่อง[1] : 8850304013181,40,98
P-8647,กล่องใหญ่,24,false,38850304013182,กล่องใหญ่[24] : 38850304013182,0,99
P-24,ม้วน,1,true,8850304002604,ม้วน[1] : 8850304002604,35,100
P-24,โหล,12,false,38850304002605,โหล[12] : 38850304002605,315,101
