externalProductCode,isActive,baseBarcode,barcodeDisplay,itemName,brandName,brandConfidence,brandMatchedAlias,baseUnit,genericName,category,lastCostThb,availableStock,baseSellPriceThb,licenseGroup,manufacturerName,sourceManufacturer,sourceRow
P-11627,true,8851467045002,กล่อง[1] : 8851467045002,(ฺฺBox) BURAPHA Topamine syrup grape 60ml,BURAPHA,high,burapha,กล่อง,,Uncategorized,17,3,50,,Unknown manufacturer,,2
P-415,true,8856093034109,ขวด[1] : 8856093034109,1.BIOTHYMUS-M LT.100ML.,BIOTHYMUS,high,biothymus-m,ขวด,,Uncategorized,0,0,552,,"D-MEDA PHARMA (THAILAND) CO.,LTD.","SPR-106: D-MEDA PHARMA (THAILAND) CO.,LTD.",3
P-12234,true,8853986004249,เส้น[1] : 8853986004249,100% Silicone stomuch no.16,,review,,เส้น,,Uncategorized,200,2,260,,Unknown manufacturer,,4
P-2,true,8858797410012,"กล่อง[1] : 8858797410012 | แพ็ค[10] : 8858797410029, 18858797410019",123 10'S.,123,medium,123,กล่อง,,ยาแผนโบราณ*,47.5,2,60,ข.ย.9,หจก.ห้างขายยาจอมทอง,SPR-156: หจก.ห้างขายยาจอมทอง,5
P-3,true,8856093031030,ขวด[1] : 8856093031030,246 รักษาเกลื้อน,246,medium,246,ขวด,Sodium Thiosulfate,ยาใช้เฉพาะที่*,0,0,13,,KPS*,SPR-159: KPS*,7
P-8676,true,2010576150030,ก้อน[1] : 2010576150030,28 ACTIVE INGREDIENTS 30 TAB,,review,,ก้อน,,DIETARY SUPPLEMENT,150,0,155,,Unknown manufacturer,,8
P-7784,true,8856093047741,ถุง[1] : 8856093047741,2IN1 ซากุระโค่ย สูตรเร่งโต-เร่งสี 1.25KG.(L),ซากุระโค่ย,high,ซากุระโค่ย,ถุง,,Uncategorized,0,0,205,,บริษัท พีซีเอ็น มาร์เก็ตติ้ง แอนด์ ดิสทริบิวชั่น จำกัด,SPR-414: บริษัท พีซีเอ็น มาร์เก็ตติ้ง แอนด์ ดิสทริบิวชั่น จำกัด,9
P-7783,true,8856093047734,ถุง[1] : 8856093047734,2IN1 ซากุระโค่ย สูตรเร่งโต-เร่งสี 1.25KG.(M),ซากุระโค่ย,high,ซากุระโค่ย,ถุง,,Uncategorized,0,0,205,,บริษัท พีซีเอ็น มาร์เก็ตติ้ง แอนด์ ดิสทริบิวชั่น จำกัด,SPR-414: บริษัท พีซีเอ็น มาร์เก็ตติ้ง แอนด์ ดิสทริบิวชั่น จำกัด,10
P-7782,true,8856093047727,ถุง[1] : 8856093047727,2IN1 ซากุระโค่ย สูตรเร่งโต-เร่งสี 1.25KG.(S),ซากุระโค่ย,high,ซากุระโค่ย,ถุง,,Uncategorized,0,0,205,,บริษัท พีซีเอ็น มาร์เก็ตติ้ง แอนด์ ดิสทริบิวชั่น จำกัด,SPR-414: บริษัท พีซีเอ็น มาร์เก็ตติ้ง แอนด์ ดิสทริบิวชั่น จำกัด,11
P-6509,true,8857124582446,ตลับ[1] : 8857124582446,2P OH MY BLUSH V2-01 ALMOND 5G.,2P,high,2p,ตลับ,,2P*,0,0,146,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",12
P-6510,true,8857124582453,ตลับ[1] : 8857124582453,2P OH MY BLUSH V2-02 BRICK BROWN 5G.,2P,high,2p,ตลับ,,2P*,0,0,146,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",13
P-6511,true,8857124582460,ตลับ[1] : 8857124582460,2P OH MY BLUSH V2-03 SALMON 5G.,2P,high,2p,ตลับ,,2P*,0,0,146,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",14
P-6512,true,8857124582507,ตลับ[1] : 8857124582507,2P OH MY BLUSH V2-07 BLOSSOM 5G.,2P,high,2p,ตลับ,,2P*,0,0,146,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",15
P-6513,true,8857124582514,ตลับ[1] : 8857124582514,2P OH MY BLUSH V2-08 RUBY 5G.,2P,high,2p,ตลับ,,2P*,0,0,146,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",16
P-6514,true,8856093044603,ตลับ[1] : 8856093044603,2P OH MY BLUSH V2-09 MAROON 5G.,2P,high,2p,ตลับ,,2P*,0,0,146,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",17
P-6515,true,8856093044610,แท่ง[1] : 8856093044610,2P OH MY TINT-01 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",18
P-6516,true,8856093044627,แท่ง[1] : 8856093044627,2P OH MY TINT-02 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",19
P-6517,true,8856093044634,แท่ง[1] : 8856093044634,2P OH MY TINT-03 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",20
P-6518,true,8857124582330,แท่ง[1] : 8857124582330,2P OH MY TINT-04 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",21
P-6519,true,8856093044641,แท่ง[1] : 8856093044641,2P OH MY TINT-05 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",22
P-6520,true,8857124582354,แท่ง[1] : 8857124582354,2P OH MY TINT-06 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",23
P-6521,true,8856093044658,แท่ง[1] : 8856093044658,2P OH MY TINT-07 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",24
P-6522,true,8857124582378,แท่ง[1] : 8857124582378,2P OH MY TINT-08 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",25
P-6523,true,8856093044665,แท่ง[1] : 8856093044665,2P OH MY TINT-09 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",26
P-6524,true,8857124582392,แท่ง[1] : 8857124582392,2P OH MY TINT-10 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",27
P-6525,true,8857124582408,แท่ง[1] : 8857124582408,2P OH MY TINT-11 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",28
P-6526,true,8856093044672,แท่ง[1] : 8856093044672,2P OH MY TINT-12 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",29
P-6527,true,8856093044689,แท่ง[1] : 8856093044689,2P OH MY TINT-13 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",30
P-6528,true,8856093044696,แท่ง[1] : 8856093044696,2P OH MY TINT-14 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",31
P-6589,true,8857124582552,แท่ง[1] : 8857124582552,2P OH MY TINT-15 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",32
P-6590,true,8857124582569,แท่ง[1] : 8857124582569,2P OH MY TINT-16 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",33
P-6591,true,8856093044917,แท่ง[1] : 8856093044917,2P OH MY TINT-17 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",34
P-6592,true,8857124582583,แท่ง[1] : 8857124582583,2P OH MY TINT-18 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",35
P-6593,true,8856093044924,แท่ง[1] : 8856093044924,2P OH MY TINT-19 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",36
P-6594,true,8857124582606,แท่ง[1] : 8857124582606,2P OH MY TINT-20 3ML.,2P,high,2p,แท่ง,,2P*,0,0,104,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",37
P-6700,true,8857124582620,แท่ง[1] : 8857124582620,2P TINT STICK-01 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",38
P-6701,true,8857124582637,แท่ง[1] : 8857124582637,2P TINT STICK-02 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",39
P-6702,true,8857124582644,แท่ง[1] : 8857124582644,2P TINT STICK-03 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",40
P-6703,true,8857124582651,แท่ง[1] : 8857124582651,2P TINT STICK-04 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",41
P-6704,true,8857124582668,แท่ง[1] : 8857124582668,2P TINT STICK-05 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",42
P-6705,true,8857124582675,แท่ง[1] : 8857124582675,2P TINT STICK-06 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",43
P-6706,true,8857124582682,แท่ง[1] : 8857124582682,2P TINT STICK-07 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",44
P-6707,true,8857124582699,แท่ง[1] : 8857124582699,2P TINT STICK-08 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",45
P-6708,true,8857124582705,แท่ง[1] : 8857124582705,2P TINT STICK-09 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",46
P-6709,true,8857124582712,แท่ง[1] : 8857124582712,2P TINT STICK-10 3.5G.,2P,high,2p,แท่ง,,2P*,0,0,157,,"2P ORIGINAL CO.,LTD.*","SPR-31: 2P ORIGINAL CO.,LTD.*",47
P-5994,true,8856093040889,กล่อง[1] : 8856093040889,365 BRAIN BOOST 10CAP.,365,medium,365,กล่อง,,Uncategorized,0,0,620,,"MP ENTREPRENEUR CO.,LTD.","SPR-364: MP ENTREPRENEUR CO.,LTD.",48
P-9547,true,8853984002759,ห่อ[1] : 8853984002759,3D KID FACE MASK/10ชิ้น,,review,,ห่อ,,Uncategorized,15,0,35,,Unknown manufacturer,,49
P-8922,true,8853984001448,แพ็ค[1] : 8853984001448,3D MASK 95% แพ็คสีขาว,,review,,แพ็ค,,Uncategorized,0,0,45,,Unknown manufacturer,,50
P-9430,true,4903111962273,ซอง[1] : 4903111962273,3D MASK unicharm ซองชมพูสำหรับเด็ก,Unicharm,high,unicharm,ซอง,,ยาทั่วไป*,111,2,149,,Unknown manufacturer,,51
P-7219,true,8851111643011,ซอง[1] : 8851111643011 | แพ็ค[4] : 8851111643028 | ลัง[24] : 68851111643013,3D MASK หน้ากากป้องกันPM2.5 (สำหรับผู้ใหญ่ ไซด์ L) 4ชิ้น,,review,,ซอง,,Uncategorized,0,0,105,,"KASPA PHARMACEUTICAL (THAILAND) CO.,LTD.","SPR-493: KASPA PHARMACEUTICAL (THAILAND) CO.,LTD.",52
P-6349,true,4903111905676,ซอง[1] : 4903111905676 | แพ็ค[4] : 8851111639014 | ลัง[24] : 68851111639016,3D MASK หน้ากากป้องกันPM2.5 (สำหรับผู้ใหญ่) 4ชิ้น,,review,,ซอง,,Uncategorized,0,0,105,,"KASPA PHARMACEUTICAL (THAILAND) CO.,LTD.","SPR-493: KASPA PHARMACEUTICAL (THAILAND) CO.,LTD.",55
P-6350,true,4903111961900,ซอง[1] : 4903111961900 | แพ็ค[4] : 8851111641017 | ลัง[24] : 68851111641019,3D MASK หน้ากากป้องกันPM2.5 5ชิ้น (สำหรับเด็ก),,review,,ซอง,,Uncategorized,111,0,149,,"KASPA PHARMACEUTICAL (THAILAND) CO.,LTD.","SPR-493: KASPA PHARMACEUTICAL (THAILAND) CO.,LTD.",58
P-11460,true,8859375700648,กระปุก[1] : 8859375700648,3D ผงกำมะถัน 250G,,review,,กระปุก,,Uncategorized,42,2,80,,Unknown manufacturer,,61
P-4638,true,8856093035496,กล่อง[1] : 8856093035496,3M COOLING FEVER AGB.6ชิ้น,3M,high,3m,กล่อง,,Uncategorized,0,0,116,,MONTANA,SPR-51: MONTANA,62
P-10872,true,8992806200420,แพ็ค[1] : 8992806200420,3M Daily Kids Mask4's,3M,high,3m,แพ็ค,,Uncategorized,17.45,4,30,,Unknown manufacturer,,63
P-11571,true,8992806200406,ซอง[1] : 8992806200406,3M Daily Mask WHITE 3D 3's,3M,high,3m,ซอง,,Uncategorized,12,1,20,,Unknown manufacturer,,64
P-4639,true,8856093035502,ซอง[1] : 8856093035502,3M EARLOOP MASKS หน้ากากอนามัย BIRDS 2ชิ้น,3M,high,3m,ซอง,,Uncategorized,0,0,21,,MONTANA,SPR-51: MONTANA,65
P-4640,true,8856093035519,ซอง[1] : 8856093035519,3M EARLOOP MASKS หน้ากากอนามัย PIGS 2ชิ้น,3M,high,3m,ซอง,,Uncategorized,0,0,27,,MONTANA,SPR-51: MONTANA,66
P-8933,true,078371920500,กล่อง[1] : 078371920500,3M EARPLUGS 1ชิ้น,3M,high,3m,กล่อง,,Uncategorized,0,0,90,,Unknown manufacturer,,67
P-12062,true,4710367278504,ถุง[1] : 4710367278504,3M Fine Slide Flosser 30's,3M,high,3m,ถุง,,Uncategorized,0.1,3,0,,Unknown manufacturer,,68
P-9727,true,8850304090229,ขวด[1] : 8850304090229,3M Liquid Soap สบู่เหลวล้างมือ/400ml,3M,high,3m,ขวด,,Uncategorized,1,0,75,,Unknown manufacturer,,69
P-9062,true,8850304221579,กล่อง[1] : 8850304221579,3M NEOPLAST SOFT PAD 5ชิ้น,3M,high,neoplast,กล่อง,,Uncategorized,0,0,45,,Unknown manufacturer,,70
P-9063,true,8850304221586,กล่อง[1] : 8850304221586,3M NEOPLAST SOFT PAD ผ้าก๊อซปิดแผล 4ชิ้น,3M,high,neoplast,กล่อง,,Uncategorized,0,0,50,,Unknown manufacturer,,71
P-9065,true,8850304221159,กล่อง[1] : 8850304221159,3M NEOPLAST TRANSPARENT WATERPROOF S 10x12/2ชิ้น,3M,high,neoplast,กล่อง,,Uncategorized,50,0,50,,Unknown manufacturer,,72
P-9064,true,8850304221135,กล่อง[1] : 8850304221135,3M NEOPLAST TRANSPARENT WATERPROOF S 6X7/3ชิ้น,3M,high,neoplast,กล่อง,,Uncategorized,0,0,45,,Unknown manufacturer,,73
P-4,true,8850304017936,กล่อง[1] : 8850304017936,3M NEXCARE COLD HOT MINI,3M,high,nexcare,กล่อง,,Uncategorized,67,1,120,,MONTANA,SPR-51: MONTANA,74
P-5,true,8850304015079,กล่อง[1] : 8850304015079,3M NEXCARE COLD HOT PACK (10x25CM.),3M,high,nexcare,กล่อง,,Uncategorized,127,2,195,,MONTANA,SPR-51: MONTANA,75
P-8936,true,8850304018766,กล่อง[1] : 8850304018766,3M NEXCARE COLD HOT PACK (30x20CM.),3M,high,nexcare,กล่อง,,Uncategorized,320,0,320,,Unknown manufacturer,,76
P-11796,true,8711428070255,กล่อง[1] : 8711428070255,3M Nexcare Coldhot Therapy Pack,3M,high,nexcare,กล่อง,,Uncategorized,0,2,190,,Unknown manufacturer,,77
P-4794,true,8850304089551,กล่อง[1] : 8850304089551,3M NEXCARE COOLING FEVER ผู้ใหญ่ 6ชิ้น,3M,high,nexcare,กล่อง,,Uncategorized,0,0,158,,MONTANA,SPR-51: MONTANA,78
P-8,true,8850304089568,กล่อง[1] : 8850304089568,3M NEXCARE COOLING FEVER สำหรับเด็กเล็ก 6ชิ้น,3M,high,nexcare,กล่อง,,Uncategorized,0,0,137,,MONTANA,SPR-51: MONTANA,79
P-8650,true,8850304013204,กล่อง[1] : 8850304013204,3M NEXCARE MICROPORE 1/2นิ้วx10หลา,3M,high,nexcare,กล่อง,,ยาทั่วไป*,23.3333,23,40,,Unknown manufacturer,,80
P-14,true,8850304002635,ม้วน[1] : 8850304002635 | โหล[12] : 38850304002636,3M NEXCARE MICROPORE 1/2นิ้วx5.5หลา,3M,high,nexcare,ม้วน,,Uncategorized,19,3,35,,MONTANA,SPR-51: MONTANA,81
P-9225,true,8850304013211,ม้วน[1] : 8850304013211 | แพ็คx12[12] : 38850304013212,3M NEXCARE MICROPORE 1นิ้วx10หลา,3M,high,nexcare,ม้วน,,Uncategorized,44,0,65,,Unknown manufacturer,,83
P-15,true,8850304002642,ม้วน[1] : 8850304002642 | กล่อง[6] : 38850304002643,3M NEXCARE MICROPORE 1นิ้วx5.5หลา,3M,high,nexcare,ม้วน,,Uncategorized,39.5,0,60,,MONTANA,SPR-51: MONTANA,85
P-7777,true,8853984001677,แผ่น[1] : 8853984001677 | กล่อง[20] : 051131000223,3M NEXCARE OPTICLUDE EYE PATCH 20ชิ้น (สำหรับเด็ก),3M,high,nexcare,แผ่น,,Uncategorized,5.15,20,10,,MONTANA,SPR-51: MONTANA,87
P-17,true,8853986002016,ชิ้น[1] : 8853986002016 | กล่อง[20] : 051131000230,3M NEXCARE OPTICLUDE EYE PATCH 20ชิ้น (สำหรับผู้ใหญ่),3M,high,nexcare,ชิ้น,,Uncategorized,6.75,0,12,,MONTANA,SPR-51: MONTANA,89
P-5661,true,8856093039579,กล่อง[1] : 8856093039579,3M NEXCARE POKEMON COOLING FEVER 6ชิ้น,3M,high,nexcare,กล่อง,,Uncategorized,0,0,126,,MONTANA,SPR-51: MONTANA,91
P-18,true,8850304095569,ม้วน[1] : 8850304095569,3M NEXCARE SOFT CLOTH 2นิ้วx5.5หลา,3M,high,nexcare,ม้วน,,Uncategorized,0,0,105,,MONTANA,SPR-51: MONTANA,92
P-20,true,8850304019619,กล่อง[1] : 8850304019619,3M NEXCARE TEGADERM 2IN1 5x7CM.3ชิ้น,3M,high,nexcare,กล่อง,,Uncategorized,0,0,63,,MONTANA,SPR-51: MONTANA,93
P-21,true,8856093027743,ซอง[1] : 8856093027743,3M NEXCARE TEGADERM 2IN1 MAXI 6x10CM.2ชิ้น,3M,high,nexcare,ซอง,,Uncategorized,0,0,84,,MONTANA,SPR-51: MONTANA,94
P-22,true,8850304005865,กล่อง[1] : 8850304005865,3M NEXCARE TEGADERM 6x7CM.5ชิ้น,3M,high,nexcare,กล่อง,,Uncategorized,0,0,84,,MONTANA,SPR-51: MONTANA,95
P-23,true,8856093028092,กล่อง[1] : 8856093028092,3M NEXCARE TEGADERM A2 (10x12CM.) 5แผ่น,3M,high,nexcare,กล่อง,,Uncategorized,0,0,168,,MONTANA,SPR-51: MONTANA,96
P-11021,true,8850304234173,กล่อง[1] : 8850304234173,3M Nexcare Transparent พลาสเตอร์ใส ขนาด 25x72 มม.,3M,high,nexcare,กล่อง,,Uncategorized,25.5,7,40,,Unknown manufacturer,,97
P-8647,true,8850304013181,กล่อง[1] : 8850304013181 | กล่องใหญ่[24] : 38850304013182,3M NEXCARE TRANSPORE 0.5นิ้วx10หลา,3M,high,nexcare,กล่อง,,ยาทั่วไป*,22.0833,20,40,,Unknown manufacturer,,98
P-24,true,8850304002604,ม้วน[1] : 8850304002604 | โหล[12] : 38850304002605,3M NEXCARE TRANSPORE 0.5นิ้วx5หลา,3M,high,nexcare,ม้วน,,Uncategorized,16.3333,0,35,,MONTANA,SPR-51: MONTANA,100
